freq,nrg_bal,siec,unit,geo\TIME_PERIOD	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,AFC,E7000,GWH,AL	1780.000 	1341.000 	1444.000 	1697.000 	1875.000 	2084.000 	2818.000 	2148.000 	2277.000 	4367.000 	4448.000 	4106.000 	4780.000 	4431.000 	5424.000 	5169.000 	3611.000 	3589.000 	4768.000 	5369.000 	5656.000 	6407.000 	6137.000 	7325.000 	6656.000 	6015.000 	5674.000 	6136.388 	6480.824 	6530.243 	6656.144 	7031.380 	6936.788 	6847.326 	7223.969 
A,AFC,E7000,GWH,AT	43577.000 	45767.000 	45281.000 	45903.000 	46538.000 	47651.000 	49270.000 	49884.000 	50699.000 	51846.000 	52553.000 	54650.000 	54906.000 	56765.000 	57895.000 	59514.322 	60795.348 	61286.312 	61663.032 	59201.267 	62171.793 	62230.662 	63165.760 	63509.236 	62563.846 	63553.966 	64527.283 	65569.869 	65855.941 	66027.932 	63744.026 	66871.969 	65964.739 	63983.834 	64781.377 
A,AFC,E7000,GWH,BA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	11877.000 	11924.000 	11494.000 	11785.000 	11820.000 	11301.000 	10240.000 	11147.000 	10891.000 	10610.000 	: 
A,AFC,E7000,GWH,BE	59108.000 	61783.000 	63871.000 	64644.000 	67822.000 	69829.000 	71405.000 	73321.000 	75527.000 	76050.000 	79166.000 	79816.000 	80438.000 	82065.000 	83034.500 	82983.100 	85663.100 	85675.500 	85885.900 	80007.300 	85642.100 	84097.700 	84038.500 	84228.400 	82040.800 	83020.400 	83180.000 	83766.400 	84223.000 	83290.900 	80896.100 	83929.900 	79590.900 	76880.800 	77889.574 p
A,AFC,E7000,GWH,BG	36484.000 	31230.000 	27575.000 	27890.000 	27875.000 	30746.000 	32053.000 	28524.000 	27744.000 	25358.000 	25426.000 	25776.000 	25287.000 	26425.000 	26241.000 	27213.000 	28444.000 	29286.000 	29923.000 	28259.000 	28311.000 	29589.000 	29113.000 	28660.000 	28945.000 	29638.000 	30259.000 	31445.670 	31389.999 	31094.533 	30498.913 	31700.223 	31205.105 	31147.105 	31736.805 p
A,AFC,E7000,GWH,CY	1816.000 	1898.000 	2133.000 	2323.000 	2427.000 	2237.000 	2315.000 	2403.000 	2635.000 	2790.000 	3017.000 	3131.000 	3407.000 	3671.000 	3762.807 	3966.921 	4176.357 	4391.098 	4652.910 	4760.190 	4881.118 	4538.602 	4406.023 	3933.145 	3972.440 	4098.516 	4404.638 	4549.948 	4669.094 	4729.891 	4410.551 	4656.863 	4881.633 	4924.317 	5307.892 
A,AFC,E7000,GWH,CZ	53037.000 	49708.000 	48148.000 	47773.000 	49312.000 	52155.000 	54146.000 	53163.000 	52196.000 	51178.000 	52292.000 	53775.000 	53669.000 	54807.000 	56388.000 	57664.000 	59422.000 	59740.010 	60463.654 	57098.304 	58077.254 	57501.558 	58005.289 	57561.467 	57592.718 	58661.342 	59762.129 	60931.039 	61327.781 	61193.576 	59111.206 	62158.363 	59937.490 	57425.018 	57174.477 
A,AFC,E7000,GWH,DE	481001.000 	481055.000 	475878.000 	467164.000 	465073.000 	472579.000 	479658.000 	482877.000 	487477.000 	490652.000 	501411.000 	512637.000 	525510.000 	531751.000 	538406.000 	539471.000 	544629.000 	545614.000 	542991.000 	513898.000 	546883.000 	539891.000 	538206.000 	536440.000 	524827.000 	528350.000 	530551.000 	531318.000 	521809.000 	507543.000 	492821.000 	510100.500 	487539.000 	463306.667 	478502.000 p
A,AFC,E7000,GWH,DK	28862.000 	29829.000 	30337.000 	30709.000 	31728.000 	31568.000 	32403.000 	32487.000 	32608.000 	32759.000 	33006.000 	33213.000 	33173.000 	33159.000 	33719.000 	34254.000 	34681.000 	34458.000 	34132.000 	32425.539 	33082.475 	32608.237 	32082.935 	32160.638 	31585.871 	31773.863 	32065.887 	32260.299 	31919.572 	32216.206 	31498.068 	33578.877 	32245.675 	31794.793 	32688.769 
A,AFC,E7000,GWH,EA20	1536580.643 	1573675.568 	1581587.833 	1575300.013 	1606926.534 	1643220.647 	1689335.923 	1724496.225 	1767737.392 	1810808.133 	1868257.171 	1922726.207 	1955922.335 	2013462.149 	2063458.162 	2088741.824 	2121983.625 	2139805.104 	2153411.171 	2047005.654 	2142578.235 	2107928.090 	2104080.824 	2084306.200 	2033133.591 	2063107.456 	2082830.015 	2100616.265 	2092223.674 	2067381.199 	1979042.427 	2061864.496 	1995815.178 	1933352.215 	: 
A,AFC,E7000,GWH,EE	7299.000 	7204.000 	6170.000 	4927.000 	5223.000 	5012.000 	5334.000 	5581.000 	5579.000 	5285.000 	5421.000 	5604.000 	5683.000 	6013.000 	6326.000 	6403.000 	6902.000 	7180.000 	7427.000 	7080.000 	7431.000 	7156.000 	7408.000 	7332.000 	7417.000 	7440.000 	7673.677 	7735.492 	8291.802 	8257.100 	8585.784 	8099.928 	7306.972 	6996.398 	7905.949 
A,AFC,E7000,GWH,EL	29666.000 	30514.000 	32024.000 	32613.000 	34239.000 	35643.000 	37167.000 	38875.000 	40979.000 	42274.000 	44982.000 	46389.000 	48579.000 	50697.000 	51752.000 	53081.000 	54778.000 	57461.000 	58771.000 	56830.000 	55276.000 	53945.000 	53559.000 	50498.000 	51185.000 	52445.000 	55034.000 	55614.427 	51096.150 	51735.304 	48847.365 	51044.958 	49106.765 	47990.926 	47464.400 
A,AFC,E7000,GWH,ES	129164.000 	132079.000 	134256.000 	134105.000 	140003.000 	145542.000 	151522.000 	163446.000 	169680.000 	181448.000 	194705.000 	207290.000 	211854.000 	224245.000 	237005.665 	248475.669 	254047.000 	257649.000 	260965.000 	247162.000 	250760.000 	247945.000 	244677.000 	236046.000 	233379.000 	238589.000 	240472.000 	246657.000 	246134.000 	242843.326 	227619.584 	235109.439 	232148.774 	230503.181 	237642.284 
A,AFC,E7000,GWH,EU27_2020	1988162.643 	2000808.568 	1984572.833 	1978258.013 	2013994.534 	2063616.647 	2119562.923 	2151978.225 	2191877.392 	2226111.133 	2291094.171 	2353732.207 	2383768.335 	2449917.149 	2507860.162 	2538782.824 	2583336.625 	2606333.114 	2622873.825 	2491748.497 	2608623.964 	2571194.885 	2570050.048 	2545937.305 	2495365.653 	2534951.281 	2565440.531 	2591288.588 	2589723.960 	2562558.764 	2463902.503 	2571683.743 	2487571.776 	2410803.436 	: 
A,AFC,E7000,GWH,FI	59473.000 	59637.000 	60328.000 	62857.000 	65762.000 	65929.000 	67246.000 	71207.000 	73608.000 	75051.000 	76466.000 	78195.000 	80552.000 	81774.000 	84037.000 	81796.000 	86965.000 	87304.000 	83832.000 	78424.000 	84791.000 	81408.000 	82036.000 	81283.000 	80433.000 	79664.000 	82179.000 	82276.000 	84023.000 	82643.000 	78141.000 	83301.000 	78218.000 	75521.000 	77287.000 
A,AFC,E7000,GWH,FR	321457.643 	344562.205 	353533.475 	353983.329 	360499.720 	365879.695 	382301.173 	379487.686 	391321.553 	400510.652 	407400.832 	418800.160 	417284.905 	434523.671 	446240.098 	448960.954 	444587.613 	445933.831 	458357.623 	442535.524 	469432.171 	447366.408 	458751.760 	463622.715 	439052.112 	448039.645 	454701.579 	451983.399 	448614.365 	444591.036 	422318.451 	441977.432 	426568.672 	409972.381 	411969.255 
A,AFC,E7000,GWH,GE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	9089.000 	9803.000 	9920.000 	10501.000 	11223.700 	11967.900 	12085.202 	11511.800 	13155.200 	13414.700 	12298.360 	13038.200 
A,AFC,E7000,GWH,HR	13742.000 	11937.000 	9822.000 	9759.000 	9941.000 	10300.000 	10682.000 	11456.000 	11464.000 	12092.000 	12212.000 	12380.000 	13104.000 	13384.000 	14135.000 	14827.000 	15489.000 	15804.000 	16523.000 	15896.000 	16226.000 	16091.000 	15709.000 	15435.000 	15180.000 	15734.000 	15715.000 	16425.100 	16625.200 	16572.000 	15578.000 	16854.400 	16569.000 	16642.800 	16866.540 p
A,AFC,E7000,GWH,HU	33010.000 	30945.000 	29745.000 	28470.000 	28740.000 	28920.000 	29836.000 	29848.000 	30084.000 	31075.000 	30859.000 	32199.000 	33332.000 	34077.000 	34750.000 	35505.000 	36588.000 	37247.000 	37398.000 	35253.000 	36007.000 	36392.000 	36634.000 	36245.000 	36900.000 	38141.000 	38693.000 	40150.000 	40882.000 	41406.000 	41406.000 	43837.500 	43138.360 	42312.285 	43998.900 p
A,AFC,E7000,GWH,IE	11968.000 	12560.000 	13303.000 	13641.000 	14243.000 	14931.000 	15940.000 	16783.000 	17768.000 	18917.000 	20314.000 	21041.000 	21929.000 	22644.000 	23398.784 	24256.410 	25211.846 	26044.413 	26626.695 	25206.823 	25524.309 	24824.211 	24543.167 	24756.100 	24931.234 	25680.234 	26311.238 	26838.312 	27591.168 	28161.836 	28512.179 	29677.952 	30399.384 	31301.589 	32840.260 
A,AFC,E7000,GWH,IS	3914.000 	3891.000 	3979.000 	4188.000 	4312.000 	4409.000 	4434.000 	4891.000 	5634.000 	6520.000 	7061.000 	7366.000 	7700.000 	7691.000 	7915.000 	7962.000 	9211.000 	11103.000 	15405.000 	15825.000 	15861.000 	16152.000 	16616.000 	17432.000 	17107.000 	17772.000 	17479.000 	18061.163 	18664.185 	18401.556 	18048.989 	18504.559 	: 	: 	: 
A,AFC,E7000,GWH,IT	218778.000 	223687.000 	228069.000 	228964.000 	236555.000 	243465.000 	245954.000 	253674.000 	260809.000 	267284.000 	279319.219 	285491.258 	290959.514 	299788.705 	304513.737 	309844.934 	317565.692 	318952.277 	319037.552 	299915.263 	309883.241 	313787.086 	307217.383 	297289.392 	291083.935 	297180.421 	295508.622 	301880.515 	303442.970 	301803.837 	283814.521 	300887.057 	295840.006 	287361.236 	293073.665 
A,AFC,E7000,GWH,LI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	397.000 	395.000 	399.000 	406.000 	410.000 	409.000 	403.000 	418.000 	409.300 	401.500 	: 
A,AFC,E7000,GWH,LT	12729.000 	12681.000 	9722.000 	7342.000 	7183.000 	7094.000 	7345.000 	7465.000 	7631.000 	7275.000 	6959.000 	7289.000 	7567.000 	8032.000 	8499.000 	8865.000 	9299.000 	9638.000 	10000.000 	9254.000 	9323.000 	9543.000 	9724.000 	9770.000 	10009.000 	10165.000 	10626.000 	10957.500 	11283.300 	11409.300 	11155.000 	11953.600 	11452.000 	11061.900 	11714.800 
A,AFC,E7000,GWH,LU	4127.000 	4220.000 	4250.000 	4376.000 	4633.000 	4995.000 	4903.000 	5143.000 	5306.000 	5523.000 	5790.120 	5842.789 	5918.916 	6175.773 	6382.521 	6143.707 	6604.268 	6684.239 	6586.460 	6113.848 	6592.778 	6492.610 	6219.797 	6183.632 	6182.363 	6228.740 	6366.078 	6393.274 	6458.709 	6396.947 	6119.871 	6392.762 	6155.629 	6044.898 	6293.237 p
A,AFC,E7000,GWH,LV	8320.000 	8013.000 	6344.000 	4731.000 	4402.000 	4465.000 	4134.000 	4191.000 	4505.000 	4468.000 	4484.000 	4583.000 	4882.000 	5201.000 	5404.000 	5729.000 	6143.000 	6606.000 	6628.000 	6103.000 	6215.000 	6191.000 	6848.000 	6576.000 	6582.000 	6461.000 	6482.000 	6484.641 	6662.141 	6636.514 	6688.883 	6930.288 	6750.939 	6560.367 	6692.975 
A,AFC,E7000,GWH,MD	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3486.000 	3573.000 	3636.000 	3682.000 	3698.000 	3727.000 	3667.000 	3744.000 	3881.000 	3860.000 	3849.000 	4179.000 	4083.000 	3984.400 	4168.900 
A,AFC,E7000,GWH,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3765.000 	3856.000 	3938.000 	3738.000 	3017.000 	3211.000 	3414.000 	3220.000 	2706.000 	2610.000 	2809.000 	2786.000 	2971.800 	2978.000 	3064.300 	2828.100 	2977.700 	2604.300 	2718.900 	2804.900 p
